"lb13_Change Password";"lb13_Parola değiştir"
"lb13_Connection";"lb13_Bağlantı"
"lb13_Create account";"lb13_Hesap oluştur"
"lb13_Email";"lb13_E-posta"
"lb13_Firstname";"lb13_İsim"
"lb13_Forgot your password?";"lb13_Parolanızı mı unuttunuz?"
"lb13_Forgot your password? Enter your email address, it will be emailed to you";"lb13_Parolanızı mı unuttunuz? E-posta adresinizi girin, e-postanıza iletilsin."
"lb13_I accept the privacy policy";"lb13_Gizlilik Politikası'nı kabul ediyorum."
"lb13_Lastname";"lb13_Soyisim"
"lb13_Nickname";"lb13_Kullanıcı adı"
"lb13_Old Password";"lb13_Eski parola"
"lb13_Or sign in with Facebook";"lb13_Facebook ile giriş yap"
"lb13_Password";"lb13_Parola"
"lb13_Save";"lb13_Kaydet"
"lb13_Send me my password";"lb13_Parolamı gönder"
"lb13_Show me in ranking";"lb13_Beni sıralamada göster"
"lb13_Sign in";"lb13_Oturum aç"
"lb13_Sign up";"lb13_Kaydol"
"lb13_Welcome";"lb13_Hoş geldiniz"
"lb13_Your points";"lb13_Puanlarınız"
